token,community,size,mean_cosine_to_own_others,nearest_other_community,cosine_margin,cosine_silhouette,max_membership,second_community,second_membership,membership_margin,normalized_membership_entropy,hsk_levels,pinyin,dictionary_translation,dictionary_translation_source,second_component_representatives,repeat_cluster_match_fraction
扭头,1,52,0.48676143139752326,86,0.06448858148295517,0.11162463365867245,0.8983725454328153,86,0.05374650837933254,0.8446260370534827,0.08882866986381745,7-9,niǔtóu,to turn one's head; to turn around,Translation,哆嗦 | 发愣 | 一动不动 | 叹气 | 发抖 | 一声不吭 | 颤抖 | 哭泣 | 一言不发 | 呜咽 | 哭 | 咧嘴,0.5
上车,131,59,0.3304360743338196,1,0.006940475564857884,0.010259320637424189,0.8994581211529836,79,0.07343500899943602,0.8260231121535476,0.08745654605581318,1,shàng chē,"to get on or into (a bus, train, car etc)",Translation,车辆 | 客运 | 火车 | 货车 | 列车 | 货运 | 出租车 | 公交车 | 公共汽车 | 大巴 | 客车 | 私家车,0.0
匆匆,131,59,0.3299120508365322,160,-0.04395275198511134,-0.06559251220676575,0.63672559641471,160,0.25706873791512946,0.3796568584995806,0.2191041157747422,7-9,cōngcōng,hurriedly,Translation,忽然 | 急忙 | 连忙 | 赶忙 | 立刻 | 猛然 | 慌忙 | 顿时 | 突然 | 赶紧 | 不由得 | 随即,0.25
赶,131,59,0.3283950484235218,194,-0.012162020986934585,-0.018108891184298537,0.6677696378795689,194,0.087098678333395,0.5806709595461739,0.2742844162138281,3,gǎn,to overtake; to catch up with; to hurry; to rush; to try to catch (the bus etc); to drive (cattle etc) forward; to drive (sb) away; to avail oneself of (an opportunity); until; by (a certain time),Translation,捉 | 逮 | 杀 | 偷 | 追 | 摸 | 抢 | 捕 | 窜 | 抓 | 夺 | 盯,0.0
上楼,131,59,0.327880454172939,1,-0.030890329499653535,-0.04595957622634254,0.6796821604794818,1,0.11593782859035143,0.5637443318891304,0.2607758045082164,4,shàng lóu,to go upstairs,Translation,扭头 | 小声 | 摇头 | 大声 | 插嘴 | 招呼 | 走开 | 嚷 | 点头 | 打岔 | 坐下 | 瞅,0.25
独自,131,59,0.31986187480588374,55,0.030130658311359526,0.042421487486261074,0.8594252629140384,55,0.038177056512865945,0.8212482064011725,0.15586055317590378,4,dúzì,alone,Translation,不肯 | 偷偷 | 执意 | 不惜 | 故意 | 愿意 | 宁愿 | 情愿 | 公然 | 竭力 | 趁机 | 无意,0.75
乘,131,59,0.3164457666502906,79,0.05736502300902646,0.07742412215191741,0.8449526671654226,79,0.047915276927320664,0.7970373902381019,0.15150166232361964,5,chéng,to ride; to mount; to make use of; to avail oneself of; to take advantage of; to multiply (math.); Buddhist sect or creed; (archaic) four horse military chariot; (archaic) four; generic term for history books; old variant of 乘; surname Cheng,Translation,车辆 | 客运 | 火车 | 货车 | 列车 | 货运 | 出租车 | 公交车 | 公共汽车 | 大巴 | 客车 | 私家车,0.0
连夜,131,59,0.31303951935707686,160,0.004268330052935698,0.006174988638912168,0.7395257513698653,55,0.11312138871718609,0.6264043626526792,0.18549467454363627,7-9,liányè,that very night; through the night; for several nights in a row,Translation,不肯 | 偷偷 | 执意 | 不惜 | 故意 | 愿意 | 宁愿 | 情愿 | 公然 | 竭力 | 趁机 | 无意,0.5
途中,131,59,0.31025243474542274,189,0.0038556617241691793,0.005558886657670244,0.8799979687596597,189,0.0925737197925413,0.7874242489671185,0.09357521055574107,4,túzhōng,en route,Translation,绕行 | 行驶 | 路程 | 路段 | 通往 | 小路 | 道路 | 路口 | 山路 | 路途 | 沿途 | 穿过,0.75
出发,131,59,0.3100194590077414,189,0.05290672111812217,0.07121769858837768,0.6042794681257981,189,0.1714335059086415,0.43284596221715665,0.33886337556773644,2,chūfā,to set off; to start (on a journey),Translation,绕行 | 行驶 | 路程 | 路段 | 通往 | 小路 | 道路 | 路口 | 山路 | 路途 | 沿途 | 穿过,0.5
走,131,59,0.3078262962867036,62,-0.02296371256169144,-0.03317622793021221,0.4565779531041919,194,0.15862301263414194,0.29795494047005,0.395649855575097,1,zǒu,"to walk; to go; to run; to move (of vehicle); to visit; to leave; to go away; to die (euph.); from; through; away (in compound verbs, such as 走); to change (shape, form, meaning)",Translation,捉 | 逮 | 杀 | 偷 | 追 | 摸 | 抢 | 捕 | 窜 | 抓 | 夺 | 盯,0.0
背着,131,59,0.30330589036334094,80,-0.022840437707503547,-0.03278402586095543,0.13746194336254772,80,0.12219671329818664,0.015265230064361077,0.5748926091682532,6,bèizhe,carrying on one's back; turning one's back to (sth or sb); keeping sth secret from (sb); keeping (one's hands) behind one's back,Translation,捎 | 拎 | 抱 | 搀 | 牵 | 揣 | 扶 | 挎 | 挽 | 抬 | 搭 | 递,0.0
归来,131,59,0.30211750371403673,78,0.05991440412099078,0.07906393400238944,0.6446783248980479,148,0.06342560577034327,0.5812527191277046,0.373740371404908,7-9,guīlái,to return; to come back,Translation,晚上 | 中午 | 下午 | 早上 | 上午 | 傍晚 | 早晨 | 凌晨 | 夜里 | 一早 | 前天 | 昨天,1.0
回,131,59,0.3018670810681783,165,-0.009335489180724688,-0.013372079911384858,0.2653840941513893,165,0.0974311674663589,0.16795292668503042,0.5739162255790999,1; 2,huí,to circle; to go back; to turn around; to answer; to return; to revolve; Hui ethnic group (Chinese Muslims); time; classifier for acts of a play; section or chapter (of a classic book); to curve; to return; to revolve; variant of 回,Translation,回去 | 回来 | 完了 | 进去 | 过来 | 待会儿 | 快点儿 | 好好 | 上去 | 去 | 出去 | 顺便,0.25
重返,131,59,0.2995852160135593,156,0.06753613512060372,0.08794329616680854,0.6621398758872724,156,0.035645951192171885,0.6264939246951006,0.36829253345488877,7-9,chóngfǎn,to return to,Translation,再度 | 接连 | 相继 | 再次 | 频频 | 陆续 | 屡次 | 逐步 | 不断 | 逐渐 | 先后 | 纷纷,0.75
出山,131,59,0.29824098600922383,165,0.055214863216114046,0.07294157021619814,0.6057543100057929,105,0.09168879114375293,0.51406551886204,0.38370251861928073,7-9,chūshān,to leave the mountain (of a hermit); to come out of obscurity to a government job; to take a leading position,Translation,抚养 | 收养 | 成家 | 赡养 | 年迈 | 独身 | 退休 | 娶 | 离婚 | 去世 | 岁 | 岁数,0.5
跟随,131,59,0.2916383710147014,116,0.05438235491059862,0.0712983072417402,0.4723005852176633,146,0.3259300093424429,0.14637057587522045,0.35343759591788526,5,gēnsuí,to follow,Translation,死心 | 脱身 | 退却 | 罢休 | 报仇 | 退缩 | 得手 | 袖手旁观 | 斩草除根 | 遂心 | 屈服 | 改邪归正,0.25
下海,131,59,0.28557521393476576,143,-0.010287277886228352,-0.014399385473293145,0.5856341822231158,143,0.11192106419119129,0.4737131180319245,0.3712464266068377,7-9,xiàhǎi,"to go out to sea; to enter the sea (to swim etc); (fig.) to take the plunge (e.g. leave a secure job, or enter prostitution etc)",Translation,打工 | 做生意 | 谋生 | 经商 | 乡下 | 穷人 | 上学 | 乞丐 | 城里 | 苦力 | 小贩 | 商人,0.5
率领,131,59,0.2751133481035477,78,-0.0265158199932235,-0.03657926370123201,0.4587712589126955,78,0.2834392092679829,0.1753320496447126,0.2891083109611872,5,shuàilǐng,to lead; to command; to head,Translation,参观 | 拜访 | 应邀 | 拜会 | 看望 | 视察 | 接见 | 观摩 | 会见 | 专程 | 陪同 | 邀请,0.75
驾,131,59,0.27154129050565706,185,-0.029144159813398407,-0.040007977711775417,0.30180911991320225,126,0.1223562295801851,0.17945289033301715,0.5216271309168458,7-9,jià,to harness; to draw (a cart etc); to drive; to pilot; to sail; to ride; your good self; prefixed word denoting respect (polite 敬辞); surname Jia,Translation,滑冰 | 游泳 | 体操 | 滑雪 | 田径 | 篮球 | 乒乓球 | 网球 | 羽毛球 | 举重 | 排球 | 摔跤,0.0
一同,131,59,0.27121380031401593,156,-0.004734603584690966,-0.006496560427092396,0.7512312439684428,78,0.07988209212614483,0.6713491518422979,0.22901422141724637,6,yītóng,together,Translation,参观 | 拜访 | 应邀 | 拜会 | 看望 | 视察 | 接见 | 观摩 | 会见 | 专程 | 陪同 | 邀请,1.0
带路,131,59,0.26859004901102607,50,-0.005380738090107251,-0.007356665140844414,0.41701514659917255,189,0.041162939320855,0.37585220727831753,0.5614599170809931,7-9,dàilù,to lead the way; to guide; to show the way; (fig.) to instruct,Translation,绕行 | 行驶 | 路程 | 路段 | 通往 | 小路 | 道路 | 路口 | 山路 | 路途 | 沿途 | 穿过,0.25
带领,131,59,0.2677479114157936,78,0.016100917659511216,0.021515137275025062,0.7067677420111173,78,0.04651957852796432,0.660248163483153,0.3195038071083826,3,dàilǐng,to guide; to lead,Translation,参观 | 拜访 | 应邀 | 拜会 | 看望 | 视察 | 接见 | 观摩 | 会见 | 专程 | 陪同 | 邀请,1.0
渡过,131,59,0.26773156670524473,10,-0.004380575119151908,-0.005982198494399148,0.7976403839333418,178,0.036436620066882634,0.7612037638664592,0.23762191244837844,7-9,dùguò,to cross over; to pass through,Translation,歼灭 | 侵略 | 摧毁 | 抵抗 | 打败 | 消灭 | 进攻 | 攻击 | 占领 | 统治 | 反击 | 敌人,0.75
半路,131,59,0.266566415927826,40,-0.012903686887674903,-0.017593531531554536,0.25058336879787596,40,0.2140784819714445,0.036504886826431465,0.5111609500107724,7-9,bànlù,halfway; midway; on the way,Translation,看见 | 碰见 | 遇见 | 见到 | 碰到 | 看到 | 想起 | 想到 | 碰上 | 遇到 | 遇上 | 见过,0.5
中途,131,59,0.26288277456746356,141,-0.019782454879811007,-0.026837596785508257,0.7315481071201465,55,0.09999006556928478,0.6315580415508617,0.23786963284852455,7-9,zhōngtú,midway,Translation,不肯 | 偷偷 | 执意 | 不惜 | 故意 | 愿意 | 宁愿 | 情愿 | 公然 | 竭力 | 趁机 | 无意,0.5
随,131,59,0.25551170201982565,69,0.042250010235907465,0.053702749433555325,0.6242517638073254,179,0.06474432780706547,0.5595074360002599,0.39799552511433306,3,suí,to follow; to comply with; varying according to...; to allow; subsequently; surname Sui,Translation,就算 | 也许 | 毕竟 | 不然 | 当然 | 难道 | 要不然 | 可是 | 其实 | 反正 | 何况 | 要是,0.5
投身,131,59,0.2516161994340223,117,-0.029162379886567724,-0.038967144751814835,0.18387306282438376,32,0.1562487493216531,0.027624313502730646,0.6304909611387851,7-9,tóushēn,to throw oneself into sth,Translation,展现 | 孕育 | 体现 | 焕发 | 激发 | 造就 | 凸显 | 呈现 | 再现 | 凝聚 | 蕴涵 | 显现,0.25
一路,131,59,0.2448828797315674,189,0.0059832513294607315,0.007861317051914209,0.11284164555540552,189,0.10494351534198075,0.007898130213424767,0.7078498816723496,5,yīlù,the whole journey; all the way; going the same way; going in the same direction; of the same kind,Translation,绕行 | 行驶 | 路程 | 路段 | 通往 | 小路 | 道路 | 路口 | 山路 | 路途 | 沿途 | 穿过,0.25
度过,131,59,0.2182083143787996,188,-0.08148032886918491,-0.10422255745076361,0.44880702052377763,148,0.05735972289292442,0.39144729763085323,0.5212214763168866,4,dùguò,to pass; to spend (time); to survive; to get through,Translation,晚上 | 中午 | 下午 | 早上 | 上午 | 傍晚 | 早晨 | 凌晨 | 夜里 | 一早 | 前天 | 昨天,0.25
共计,132,55,0.35481419782543594,113,0.014871036346308264,0.02252993299733537,0.9623077343226628,156,0.004970380835591648,0.9573373534870712,0.054663845095081175,5,gòngjì,to sum up to; to total,Translation,再度 | 接连 | 相继 | 再次 | 频频 | 陆续 | 屡次 | 逐步 | 不断 | 逐渐 | 先后 | 纷纷,1.0
合计,132,55,0.34361745756271794,113,0.09208664418561996,0.12303331363728628,0.7907982946265699,37,0.029425924619405682,0.7613723700071643,0.23474246389524134,7-9,héjì,to add up the total; to figure what sth amounts to; to consider,Translation,利息 | 税收 | 收入 | 数额 | 租金 | 收益 | 手续费 | 工资 | 利润 | 贷款 | 金额 | 报酬,1.0
总计,132,55,0.33722530509863374,113,0.0767119939515507,0.10373681515558522,0.8558200344891085,37,0.015337951577290506,0.840482082911818,0.1744599976003192,7-9,zǒngjì,(grand) total,Translation,利息 | 税收 | 收入 | 数额 | 租金 | 收益 | 手续费 | 工资 | 利润 | 贷款 | 金额 | 报酬,1.0
约,132,55,0.3292553010237687,113,0.10469029365198429,0.1350084722088087,0.43462017478563325,148,0.0730073776691605,0.36161279711647276,0.5113480021926339,3,yuē,to weigh in a balance or on a scale; to make an appointment; to invite; approximately; pact; treaty; to economize; to restrict; to reduce (a fraction); concise,Translation,晚上 | 中午 | 下午 | 早上 | 上午 | 傍晚 | 早晨 | 凌晨 | 夜里 | 一早 | 前天 | 昨天,1.0
累计,132,55,0.3288024894371968,156,0.07069037661316502,0.09528444639021041,0.42533309523062196,37,0.06802832913301464,0.3573047660976073,0.5108631064344067,7-9,lěijì,to calculate the running total; cumulative; total; in total,Translation,利息 | 税收 | 收入 | 数额 | 租金 | 收益 | 手续费 | 工资 | 利润 | 贷款 | 金额 | 报酬,1.0
平均,132,55,0.32052238446137865,124,0.04585875039366438,0.06322411580001445,0.25586133857090193,37,0.08385046221344898,0.17201087635745294,0.6050454362874588,4,píngjūn,average; on average; evenly; in equal proportions,Translation,利息 | 税收 | 收入 | 数额 | 租金 | 收益 | 手续费 | 工资 | 利润 | 贷款 | 金额 | 报酬,1.0
总数,132,55,0.3148713392951318,73,0.06062085183445093,0.08128849005617658,0.27118502306738873,37,0.10439768485487712,0.16678733821251163,0.6333777678903625,5,zǒngshù,total; sum; aggregate,Translation,利息 | 税收 | 收入 | 数额 | 租金 | 收益 | 手续费 | 工资 | 利润 | 贷款 | 金额 | 报酬,1.0
总共,132,55,0.3120030505531621,113,0.04770165880175442,0.06483858779522945,0.863325822298861,179,0.038316006903618645,0.8250098153952423,0.14629359073263393,4,zǒnggòng,altogether; in sum; in all; in total,Translation,就算 | 也许 | 毕竟 | 不然 | 当然 | 难道 | 要不然 | 可是 | 其实 | 反正 | 何况 | 要是,1.0
占,132,55,0.30826006496470687,113,-0.003985666143059341,-0.005761798533224677,0.23009130911392264,173,0.07516570243177875,0.1549256066821439,0.634475820182605,2,zhàn,variant of 占; to observe; to divine; to take possession of; to occupy; to take up,Translation,上涨 | 下跌 | 涨 | 上升 | 回落 | 回升 | 飙升 | 攀升 | 跌 | 反弹 | 增长 | 升值,1.0
超过,132,55,0.30753827361246566,113,0.021722389535233144,0.030415671604746636,0.14579739505340816,184,0.10258093620564061,0.04321645884776755,0.6762099743571324,2,chāoguò,to surpass; to exceed; to outstrip,Translation,增大 | 加剧 | 减弱 | 降低 | 缓解 | 增加 | 减少 | 加重 | 抑制 | 抵消 | 减轻 | 下降,1.0
总量,132,55,0.3071851602327178,73,0.019795808050718844,0.027779276258828214,0.14507766295447244,37,0.101960547229732,0.043117115724740446,0.6653817363667713,6,zǒngliàng,total; overall amount,Translation,利息 | 税收 | 收入 | 数额 | 租金 | 收益 | 手续费 | 工资 | 利润 | 贷款 | 金额 | 报酬,1.0
折合,132,55,0.3058113789802941,173,0.06503895771374155,0.08566464066313337,0.6742445892659369,37,0.08093476635140476,0.5933098229145322,0.3058956943878679,7-9,zhéhé,to convert into; to amount to; to be equivalent to,Translation,利息 | 税收 | 收入 | 数额 | 租金 | 收益 | 手续费 | 工资 | 利润 | 贷款 | 金额 | 报酬,1.0
总额,132,55,0.2962663748007603,37,0.008012807239117237,0.011257952093509386,0.19609437538893829,37,0.18384643312014007,0.012247942268798218,0.6064873285857126,7-9,zǒng'é,total (amount or value),Translation,利息 | 税收 | 收入 | 数额 | 租金 | 收益 | 手续费 | 工资 | 利润 | 贷款 | 金额 | 报酬,1.0
共,132,55,0.29358514917487916,113,-0.005110216234230802,-0.007234015859465547,0.9058268300727115,156,0.029101292729632314,0.8767255373430791,0.11560291675348765,4,gòng,"common; general; to share; together; total; altogether; abbr. for 共产党, Communist party",Translation,再度 | 接连 | 相继 | 再次 | 频频 | 陆续 | 屡次 | 逐步 | 不断 | 逐渐 | 先后 | 纷纷,1.0
共有,132,55,0.2835274861576857,113,-0.044089368913746874,-0.061536720616543125,0.4167773819346779,145,0.04916642786347649,0.3676109540712014,0.5610537286955958,3,gòngyǒu,to have altogether; in all,Translation,制定 | 制订 | 开展 | 组建 | 实施 | 建立 | 设立 | 推出 | 推行 | 构建 | 成立 | 拟定,1.0
低于,132,55,0.27754160984327847,173,0.0047296056477706405,0.006503965515187453,0.14291573076276207,184,0.13695576895799055,0.005959961804771513,0.6490232906747906,5,dīyú,to be lower than,Translation,增大 | 加剧 | 减弱 | 降低 | 缓解 | 增加 | 减少 | 加重 | 抑制 | 抵消 | 减轻 | 下降,0.5
对应,132,55,0.2711266238684892,113,-0.007763675297391026,-0.010651610487677036,0.23092087823859977,34,0.15133120258386978,0.07958967565472999,0.5967143324151937,5,duìyìng,to correspond (to); to be equivalent to; to be a counterpart to,Translation,推断 | 测算 | 判断 | 估算 | 推算 | 推测 | 判定 | 预测 | 断定 | 依据 | 假定 | 假设,1.0
一共,132,55,0.27081971235019775,113,-0.01478921134592337,-0.020281968117363686,0.8061720436581641,179,0.06870894782598362,0.7374630958321805,0.17993260369903402,2,yīgòng,altogether,Translation,就算 | 也许 | 毕竟 | 不然 | 当然 | 难道 | 要不然 | 可是 | 其实 | 反正 | 何况 | 要是,1.0
同期,132,55,0.2694679960436556,173,0.005137937641774948,0.006984025513688588,0.17455272062799698,148,0.10803460964509391,0.06651811098290307,0.6682538481620424,6,tóngqī,the corresponding time period (in a different year etc); concurrent; synchronous,Translation,晚上 | 中午 | 下午 | 早上 | 上午 | 傍晚 | 早晨 | 凌晨 | 夜里 | 一早 | 前天 | 昨天,0.75
较,132,55,0.2669574648877782,76,-0.03070824374390052,-0.0418914896107624,0.13011685713311175,179,0.11496037731359539,0.015156479819516358,0.6552532990442711,3,jiào,to compare; to dispute; compared to; (before adj.) relatively; comparatively; rather; also pr. [jiǎo],Translation,就算 | 也许 | 毕竟 | 不然 | 当然 | 难道 | 要不然 | 可是 | 其实 | 反正 | 何况 | 要是,0.0
分别,132,55,0.2666595427760712,54,0.006416428297809473,0.008673698648014634,0.5428168993002626,156,0.10431926990051146,0.4384976293997511,0.4160030667210962,3,fēnbié,to part; to leave each other; to distinguish; to tell apart; difference; distinction; in different ways; differently; separately; individually,Translation,再度 | 接连 | 相继 | 再次 | 频频 | 陆续 | 屡次 | 逐步 | 不断 | 逐渐 | 先后 | 纷纷,1.0
剩余,132,55,0.2638351444265624,99,0.012367514873007857,0.016522351418992852,0.2513449212637383,99,0.08470196962678729,0.16664295163695103,0.6371492835219866,7-9,shèngyú,remainder; surplus,Translation,耗费 | 花费 | 消耗 | 费用 | 节省 | 开支 | 支出 | 开销 | 成本 | 节约 | 投入 | 浪费,1.0
高于,132,55,0.2633043253486904,173,-0.011762213788214237,-0.01596617734152104,0.14173358559382396,184,0.11096669345511519,0.03076689213870877,0.6370451687061323,5,gāoyú,greater than; to exceed,Translation,增大 | 加剧 | 减弱 | 降低 | 缓解 | 增加 | 减少 | 加重 | 抑制 | 抵消 | 减轻 | 下降,0.5
量,132,55,0.2623614723070694,73,-0.03939713315932636,-0.05340980938529132,0.09328022220925243,37,0.08075453716390815,0.012525685045344279,0.6988742285378541,4,liáng,"to measure; capacity; quantity; amount; to estimate; abbr. for 量词, classifier (in Chinese grammar); measure word",Translation,利息 | 税收 | 收入 | 数额 | 租金 | 收益 | 手续费 | 工资 | 利润 | 贷款 | 金额 | 报酬,0.25
百分比,132,55,0.2608505506721805,73,-0.02834498563204846,-0.03834811168137269,0.1279528724088692,37,0.11635408009723976,0.011598792311629455,0.6668694711466236,7-9,bǎifēnbǐ,percentage,Translation,利息 | 税收 | 收入 | 数额 | 租金 | 收益 | 手续费 | 工资 | 利润 | 贷款 | 金额 | 报酬,1.0
相当于,132,55,0.25940826463410194,113,-0.019719805747494712,-0.02662709399228153,0.3009660483356436,179,0.2336642287087971,0.0673018196268465,0.5025300438757103,7-9,xiāngdāngyú,equivalent to,Translation,就算 | 也许 | 毕竟 | 不然 | 当然 | 难道 | 要不然 | 可是 | 其实 | 反正 | 何况 | 要是,0.25
计,132,55,0.2591758440125376,34,0.04734399863338809,0.06006839829270051,0.17689570102128874,37,0.09114994141719451,0.08574575960409422,0.686331906857014,7-9,jì,to calculate; to compute; to count; to regard as important; to plan; ruse; meter; gauge; surname Ji,Translation,利息 | 税收 | 收入 | 数额 | 租金 | 收益 | 手续费 | 工资 | 利润 | 贷款 | 金额 | 报酬,1.0
左右,132,55,0.25799578397817713,10,0.009662170408398452,0.012854333495323075,0.14331496649143693,179,0.08584155499402125,0.05747341149741568,0.6846752508256579,3,zuǒyòu,left and right; nearby; approximately; attendant; to control; to influence,Translation,就算 | 也许 | 毕竟 | 不然 | 当然 | 难道 | 要不然 | 可是 | 其实 | 反正 | 何况 | 要是,0.75
近,132,55,0.2541837981815716,173,0.019005120580559726,0.024849098768516292,0.07075957291797956,179,0.07055782490921868,0.0002017480087608825,0.7465619552615225,2,jìn,near; close to; approximately,Translation,就算 | 也许 | 毕竟 | 不然 | 当然 | 难道 | 要不然 | 可是 | 其实 | 反正 | 何况 | 要是,0.0
数,132,55,0.2512047236495287,73,0.034210798950589094,0.04369161367928759,0.10172849577886267,179,0.05636110860329568,0.045367387175566994,0.7576277875238524,2,shǔ,to count; to count as; to regard as; to enumerate; to list; number; figure; several; a few; (literary) frequently; repeatedly,Translation,就算 | 也许 | 毕竟 | 不然 | 当然 | 难道 | 要不然 | 可是 | 其实 | 反正 | 何况 | 要是,0.75
截至,132,55,0.2510847295112846,10,0.011318048819289994,0.014887599019722171,0.14547060227459133,148,0.09186025789113678,0.05361034438345455,0.6903385051168835,6,jiézhì,up to (a time); by (a time),Translation,晚上 | 中午 | 下午 | 早上 | 上午 | 傍晚 | 早晨 | 凌晨 | 夜里 | 一早 | 前天 | 昨天,0.75
以上,132,55,0.2500436992408748,173,0.03002538976775665,0.03849499306512488,0.09728586634515743,179,0.08551986514988501,0.011766001195272421,0.7437692784502481,2,yǐshàng,that level or higher; that amount or more; the above-mentioned; (used to indicate that one has completed one's remarks) That is all.,Translation,就算 | 也许 | 毕竟 | 不然 | 当然 | 难道 | 要不然 | 可是 | 其实 | 反正 | 何况 | 要是,0.25
成交,132,55,0.2485045700932026,173,-0.022083611142887316,-0.02938622147792202,0.12573527992507616,37,0.1000104294287787,0.025724850496297455,0.680570933012627,5,chéngjiāo,to complete a contract; to reach a deal,Translation,利息 | 税收 | 收入 | 数额 | 租金 | 收益 | 手续费 | 工资 | 利润 | 贷款 | 金额 | 报酬,0.75
销量,132,55,0.24451112538227412,173,-0.03234721253689535,-0.04281626589572596,0.09640971170555418,37,0.0809324998447549,0.015477211860799284,0.6990837427176451,7-9,xiāoliàng,sales volume,Translation,利息 | 税收 | 收入 | 数额 | 租金 | 收益 | 手续费 | 工资 | 利润 | 贷款 | 金额 | 报酬,0.25
百分点,132,55,0.24421666940612116,173,-0.05347344233577819,-0.07075234418541593,0.07323275922920723,173,0.06844857916611803,0.0047841800630891995,0.7582992532611584,6,bǎifēndiǎn,percentage point,Translation,上涨 | 下跌 | 涨 | 上升 | 回落 | 回升 | 飙升 | 攀升 | 跌 | 反弹 | 增长 | 升值,0.0
截止,132,55,0.2429411573377305,10,-0.015010066261014615,-0.019826815849915067,0.10832523329032921,148,0.09537110420210779,0.012954129088221425,0.7194124277759693,6,jiézhǐ,to close; to stop; to put a stop to sth; cut-off point; stopping point; deadline,Translation,晚上 | 中午 | 下午 | 早上 | 上午 | 傍晚 | 早晨 | 凌晨 | 夜里 | 一早 | 前天 | 昨天,0.0
值,132,55,0.23812205381043655,173,-0.016818434614406408,-0.022074972373884484,0.10325655624166392,37,0.06449356964625345,0.03876298659541047,0.7399466235240457,3,zhí,value; (to be) worth; to happen to; to be on duty,Translation,利息 | 税收 | 收入 | 数额 | 租金 | 收益 | 手续费 | 工资 | 利润 | 贷款 | 金额 | 报酬,1.0
至,132,55,0.23805523295700842,173,-0.006074218769514805,-0.007971993551564114,0.12245230569201011,148,0.11322694397421555,0.009225361717794561,0.6833485369695373,5,zhì,to arrive; most; to; until,Translation,晚上 | 中午 | 下午 | 早上 | 上午 | 傍晚 | 早晨 | 凌晨 | 夜里 | 一早 | 前天 | 昨天,0.5
含,132,55,0.23386417883323585,113,-0.13529010436374778,-0.1765876240556298,0.21305883469179202,113,0.1270062300745384,0.08605260461725361,0.6539123787104412,4,hán,to keep in the mouth; to contain,Translation,涵盖 | 包含 | 包括 | 涉及 | 覆盖 | 分为 | 构成,1.0
亿,132,55,0.23311823999760933,173,0.01716554401821116,0.02189350557062828,0.08436907755338156,45,0.07838338284288458,0.00598569471049698,0.717676358143133,2,yì,100 million,Translation,山岭 | 丘陵 | 沿岸 | 海岸 | 湖泊 | 河流 | 平原 | 峡谷 | 北部 | 湖 | 山区 | 南部,0.75
以内,132,55,0.22997096889347546,10,-0.0010854938200954012,-0.0014096790851320618,0.10510532741169436,45,0.07779375043153472,0.027311576980159638,0.7407345889151196,4,yǐnèi,within; less than,Translation,山岭 | 丘陵 | 沿岸 | 海岸 | 湖泊 | 河流 | 平原 | 峡谷 | 北部 | 湖 | 山区 | 南部,1.0
上期,132,55,0.2263519285091217,173,-0.01308283494217366,-0.016910576558359473,0.11560535902521477,148,0.08933190385977072,0.02627345516544405,0.7273941513077035,7-9,shàng qī,"previous period (week, month or quarter etc)",Translation,晚上 | 中午 | 下午 | 早上 | 上午 | 傍晚 | 早晨 | 凌晨 | 夜里 | 一早 | 前天 | 昨天,0.75
指数,132,55,0.22623389192610088,173,-0.09078343867002653,-0.11732671891769682,0.08235071570778527,37,0.07078866154738213,0.011562054160403137,0.7347840298756281,6,zhǐshù,"(numerical, statistical) index; (math.) exponent; index; exponential (function, growth)",Translation,利息 | 税收 | 收入 | 数额 | 租金 | 收益 | 手续费 | 工资 | 利润 | 贷款 | 金额 | 报酬,0.25
率,132,55,0.2253269713615641,173,0.008252202855208668,0.010540218303432792,0.06251877310422864,44,0.05742953422644119,0.00508923887778745,0.7662806234586416,7-9,lǜ (chénggōnglǜ); shuài,rate; frequency; to lead; to command; rash; hasty; frank; straightforward; generally; usually,Translation,牛奶 | 米饭 | 橙汁 | 果汁 | 酸奶 | 罐头 | 肉 | 红薯 | 豆腐 | 面条儿 | 薯片 | 水果,0.0
倍,132,55,0.22314675587341512,173,-0.01838005773830767,-0.023659626676300127,0.10395916218206958,37,0.08395326653636649,0.020005895645703084,0.7271635963338298,4,bèi,"(two, three etc) -fold; times (multiplier); double; to increase or multiply",Translation,利息 | 税收 | 收入 | 数额 | 租金 | 收益 | 手续费 | 工资 | 利润 | 贷款 | 金额 | 报酬,1.0
持有,132,55,0.21643021010747757,173,-0.0047088353435350006,-0.006009465148191763,0.07732829290911342,37,0.06960272603365253,0.0077255668754608875,0.7346875721487341,6,chíyǒu,"to hold (passport, views etc)",Translation,利息 | 税收 | 收入 | 数额 | 租金 | 收益 | 手续费 | 工资 | 利润 | 贷款 | 金额 | 报酬,0.75
分成,132,55,0.2144882501033025,113,-0.14361488844851214,-0.18282971383610605,0.1339221037184076,19,0.06654100248076955,0.06738110123763805,0.7435928054744687,5,fēnchéng,to divide (into); to split a bonus; to break into; tenths; percentage allotment,Translation,差别 | 相同 | 相似 | 差异 | 不同 | 相差 | 区别 | 有所不同 | 截然不同 | 不相上下 | 差距 | 一模一样,1.0
指标,132,55,0.21311513166806265,68,-0.050157837319975446,-0.06374228217947765,0.06959753223660763,34,0.06645253452112315,0.003144997715484474,0.738051649905508,5,zhǐbiāo,(production) target; quota; index; indicator; sign; signpost; (computing) pointer,Translation,推断 | 测算 | 判断 | 估算 | 推算 | 推测 | 判定 | 预测 | 断定 | 依据 | 假定 | 假设,0.25
